rank1,rank2,rank3,rank4,numSeats,numCands
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,2,5
Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley,2,5
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,2,5
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards,2,5
Larry Edwards,skipped,skipped,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,2,5
Sarah A. Lucido,Larry Edwards,Harvey Curley,skipped,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Larry Edwards,Mary Hall-Rayford,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,2,5
Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford,2,5
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,2,5
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,2,5
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley,2,5
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley,2,5
Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,skipped,2,5
Sarah A. Lucido,Harvey Curley,Larry Edwards,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Mary Hall-Rayford,Larry Edwards,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,2,5
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,2,5
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,2,5
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Sarah A. Lucido,writein,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Larry Edwards,Sarah A. Lucido,skipped,skipped,2,5
Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,2,5
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley,2,5
Sarah A. Lucido,Harvey Curley,Larry Edwards,skipped,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Mary Hall-Rayford,skipped,skipped,skipped,2,5
Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,2,5
Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley,2,5
Harvey Curley,Larry Edwards,skipped,skipped,2,5
Sarah A. Lucido,Larry Edwards,skipped,skipped,2,5
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,skipped,2,5
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,2,5
writein,Larry Edwards,Sarah A. Lucido,Harvey Curley,2,5
Larry Edwards,skipped,skipped,skipped,2,5
Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford,2,5
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,2,5
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,skipped,2,5
Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,2,5
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,2,5
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,2,5
Mary Hall-Rayford,skipped,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Sarah A. Lucido,Larry Edwards,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley,2,5
Sarah A. Lucido,writein,Harvey Curley,Mary Hall-Rayford,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Harvey Curley,Larry Edwards,skipped,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Sarah A. Lucido,Larry Edwards,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Mary Hall-Rayford,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,2,5
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,2,5
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley,2,5
Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,2,5
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,2,5
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,2,5
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,skipped,2,5
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,2,5
Mary Hall-Rayford,Harvey Curley,skipped,skipped,2,5
Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,2,5
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,2,5
Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley,2,5
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,2,5
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley,2,5
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,2,5
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Larry Edwards,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,skipped,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,skipped,2,5
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,2,5
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,2,5
Harvey Curley,Mary Hall-Rayford,skipped,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,skipped,2,5
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Larry Edwards,Mary Hall-Rayford,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Mary Hall-Rayford,Larry Edwards,Harvey Curley,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Mary Hall-Rayford,Harvey Curley,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Mary Hall-Rayford,skipped,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,2,5
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,skipped,2,5
Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,2,5
Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,2,5
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,2,5
Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford,2,5
Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,skipped,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,2,5
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Larry Edwards,skipped,2,5
Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford,2,5
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley,2,5
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,2,5
Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido,2,5
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Mary Hall-Rayford,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,2,5
Harvey Curley,Larry Edwards,Sarah A. Lucido,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,2,5
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,skipped,2,5
Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Harvey Curley,Larry Edwards,Sarah A. Lucido,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,2,5
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,2,5
Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,2,5
Larry Edwards,skipped,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,2,5
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,2,5
Larry Edwards,skipped,skipped,skipped,2,5
Harvey Curley,Mary Hall-Rayford,skipped,skipped,2,5
Sarah A. Lucido,Larry Edwards,skipped,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Harvey Curley,Larry Edwards,skipped,skipped,2,5
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,2,5
Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards,2,5
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,2,5
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,2,5
Larry Edwards,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Larry Edwards,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,2,5
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley,2,5
Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Harvey Curley,Larry Edwards,Sarah A. Lucido,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,2,5
Sarah A. Lucido,Larry Edwards,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
writein,skipped,skipped,skipped,2,5
Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford,2,5
Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,2,5
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,2,5
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley,2,5
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,skipped,2,5
Harvey Curley,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,2,5
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,skipped,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
writein,skipped,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,2,5
Harvey Curley,Mary Hall-Rayford,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,2,5
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley,2,5
Larry Edwards,skipped,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,skipped,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,2,5
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,2,5
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,2,5
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,skipped,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Larry Edwards,skipped,skipped,skipped,2,5
Larry Edwards,Sarah A. Lucido,Harvey Curley,skipped,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,2,5
Mary Hall-Rayford,skipped,skipped,skipped,2,5
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley,2,5
Harvey Curley,Larry Edwards,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,2,5
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,2,5
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,2,5
Larry Edwards,skipped,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley,2,5
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,skipped,skipped,skipped,2,5
Harvey Curley,Larry Edwards,skipped,skipped,2,5
Harvey Curley,skipped,skipped,skipped,2,5
Harvey Curley,Sarah A. Lucido,skipped,skipped,2,5
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,2,5
